,IP,Datetime,Request,StatusCode,Target
178,216.145.14.142,[19/Jul/2010:05:05:28 +0100],GET /robots.txt HTTP/1.0,403,1
179,216.145.14.142,[19/Jul/2010:05:05:28 +0100],GET / HTTP/1.1,403,1
180,67.195.111.233,[19/Jul/2010:14:54:25 +0100],GET /robots.txt HTTP/1.0,403,1
181,67.195.111.233,[19/Jul/2010:14:54:25 +0100],GET / HTTP/1.0,403,1
182,212.95.58.188,[19/Jul/2010:22:01:49 +0100],GET /templates/ HTTP/1.1,403,1
183,208.80.193.121,[20/Jul/2010:00:44:00 +0100],GET / HTTP/1.0,403,1
184,205.251.121.5,[20/Jul/2010:22:22:47 +0100],GET /robots.txt HTTP/1.1,403,1
185,205.251.121.5,[20/Jul/2010:22:22:47 +0100],GET / HTTP/1.1,403,1
186,205.251.121.5,[20/Jul/2010:22:22:48 +0100],GET / HTTP/1.1,403,1
187,208.80.193.40,[21/Jul/2010:10:06:21 +0100],GET / HTTP/1.0,403,1
188,200.242.29.38,[21/Jul/2010:21:39:21 +0100],GET /construcao.jpg HTTP/1.1,403,1
189,200.242.29.38,[21/Jul/2010:21:39:21 +0100],GET / HTTP/1.1,403,1
190,208.80.193.39,[22/Jul/2010:19:30:22 +0100],GET / HTTP/1.0,403,1
191,207.46.199.42,[23/Jul/2010:07:31:11 +0100],GET /robots.txt HTTP/1.1,403,1
192,207.46.199.42,[23/Jul/2010:07:34:23 +0100],GET / HTTP/1.1,403,1
193,72.94.249.37,[23/Jul/2010:17:43:01 +0100],GET / HTTP/1.1,403,1
194,72.94.249.37,[23/Jul/2010:17:43:02 +0100],GET / HTTP/1.1,403,1
195,208.80.193.40,[24/Jul/2010:04:06:31 +0100],GET / HTTP/1.0,403,1
196,66.249.66.193,[24/Jul/2010:23:22:57 +0100],GET /robots.txt HTTP/1.1,403,1
197,66.249.66.193,[24/Jul/2010:23:22:57 +0100],GET / HTTP/1.1,403,1
198,66.249.66.58,[25/Jul/2010:03:50:21 +0100],GET /robots.txt HTTP/1.1,403,1
199,66.249.66.58,[25/Jul/2010:03:50:21 +0100],GET / HTTP/1.1,403,1
200,208.80.193.39,[25/Jul/2010:15:07:02 +0100],GET / HTTP/1.0,403,1
201,207.46.194.240,[25/Jul/2010:21:22:15 +0100],GET /construcao.jpg HTTP/1.1,403,1
202,207.46.194.240,[25/Jul/2010:21:22:16 +0100],GET / HTTP/1.1,403,1
203,208.80.193.39,[27/Jul/2010:00:34:46 +0100],GET / HTTP/1.0,403,1
204,208.80.193.30,[28/Jul/2010:09:21:50 +0100],GET / HTTP/1.0,403,1
205,208.80.194.39,[29/Jul/2010:17:00:27 +0100],GET / HTTP/1.0,403,1
